First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,E-mail 2 - Label,E-mail 2 - Value,E-mail 3 - Label,E-mail 3 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address,Address 3 - Label,Address 3 - Formatted,Address 3 - Street,Address 3 - City,Address 3 - PO Box,Address 3 - Region,Address 3 - Postal Code,Address 3 - Country,Address 3 - Extended Address,Relation 1 - Label,Relation 1 - Value,Relation 2 - Label,Relation 2 - Value,Relation 3 - Label,Relation 3 - Value,Relation 4 - Label,Relation 4 - Value,Relation 5 - Label,Relation 5 - Value,Relation 6 - Label,Relation 6 - Value,Relation 7 - Label,Relation 7 - Value,Website 1 - Label,Website 1 - Value,Event 1 - Label,Event 1 - Value,Event 2 - Label,Event 2 - Value,Custom Field 1 - Label,Custom Field 1 - Value,Custom Field 2 - Label,Custom Field 2 - Value,Custom Field 3 - Label,Custom Field 3 - Value,Custom Field 4 - Label,Custom Field 4 - Value,Custom Field 5 - Label,Custom Field 5 - Value,Custom Field 6 - Label,Custom Field 6 - Value
,,,,,,,,,,Irene Hunt School,,Autism Non-Public School,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415  457-3200,,,,,,,,,School,"300 Sunnyhills Drive
San Anselmo, Marin Office of Education 94960
USA",300 Sunnyhills Drive,San Anselmo,,Marin Office of Education,94960,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,MCOE / MPTA / Novato,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,San Domenico School,,Private K-12,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 258-1900,,,,,,,,,School,"1500 Butterfield Rd
San Anselmo, Tamalpais Union High School District 94930
USA",1500 Butterfield Rd,San Anselmo,,Tamalpais Union High School District,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Private Account - Nathanson,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,San Domenico School,,Private K-12,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,415 258-1900,,,,,,,,,School,"1500 Butterfield Rd
San Anselmo, Marin County 94930
USA",1500 Butterfield Rd,San Anselmo,,Marin County,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Private Account - Nathanson,,,,,,,,,,
,,,,,,,,,,Grant Grover School,,Marin Office of Education - Special Education School,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 312-6377,,,,,,,,,School,"800 College Ave
Kentfield, Marin Office of Education 94904
USA",800 College Ave,Kentfield,,Marin Office of Education,94904,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Marin Pupil Transportation Agency,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Orion Academy,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 377-0789,,,,,,,,,School,"1868 Clayton Road
Concord, Alameda County 94520
USA",1868 Clayton Road,Concord,,Alameda County,94520,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Bel Aire Elementary School,,Reed School District,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 388-7100,,,,,,,,,School,"277 Karen Way
Tiburon, Reed School District 94920
USA",277 Karen Way,Tiburon,,Reed School District,94920,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Novato Unified School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Autistry Studios,,Autism Non-Public Post Education,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 454-1037,,,,,,,,,School,"448 Du Bois Street
San Rafael, Marin County 94960
USA",448 Du Bois Street,San Rafael,,Marin County,94960,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Private Account - Ingoldsby,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Autistry Studios,,Bridge Program Classroom,,,,School Contacts ::: Imported on 11/24 ::: Teachers ::: * myContacts,,,,,,,Main,415 454-1037,,,,,,,,,School,"448 Du Bois Street
San Rafael, Marin County 94960
USA",448 Du Bois Street,San Rafael,,Marin County,94960,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Private Account - Ingoldsby,,,,,,,,,,
,,,,,,,,,,White Hill Middle School,,Ross Elementary School District,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 454-8390,,,,,,,,,School,"101 Glen Drive
Fairfax, Ross Valley Schools 94930
USA",101 Glen Drive,Fairfax,,Ross Valley Schools,94930,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Ross Elementary School District,Address 1 - State,CA,,,,,,,,
,,,,,,,,,,Star Academy Post - COM Campus,,Autism Non-Public school,,,,Imported on 11/24 2 ::: School Locations ::: * myContacts,,,,,,,School Office,415 456-8727,,,,,,,,,School,"700 College Ave
Kentfield, Marin County 94904
USA",700 College Ave,Kentfield,,Marin County,94904,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Client Name,Tamalpais Union High School District,Address 1 - State,CA,,,,,,,,
